"MaxBreadth","BasHeight","BasLength","NasHeight","TimePeriod"
131,138,89,49,1
125,131,92,48,1
131,132,99,50,1
119,132,96,44,1
136,143,100,54,1
138,137,89,56,1
139,130,108,48,1
125,136,93,48,1
131,134,102,51,1
134,134,99,51,1
124,138,101,48,2
133,134,97,48,2
138,134,98,45,2
148,129,104,51,2
126,124,95,45,2
135,136,98,52,2
132,145,100,54,2
133,130,102,48,2
131,134,96,50,2
133,125,94,46,2
132,130,91,52,3
133,131,100,50,3
138,137,94,51,3
130,127,99,45,3
136,133,91,49,3
134,123,95,52,3
136,137,101,54,3
133,131,96,49,3
138,133,100,55,3
138,133,91,46,3
